Requirement ,Description ,Guidance,Testing
PCI 01,PCI 01: Install and maintain a firewall configuration to protect cardholder data,,
PCI 01.1.1,PCI 01.1.1: A formal process for approving and testing all network connections and changes to the firewall and router configurations,"A documented and implemented process for approving and testing all connections and changes to the firewalls and routers will help prevent security problems caused by misconfiguration of the network, router, or firewall. 

Without formal approval and testing of changes, records of the changes might not be updated, which could lead to inconsistencies between network documentation and the actual 
configuration. ","1.1.1.a Examine documented procedures to verify there is a formal process for testing and approval of all: 

. Network connections and 
. Changes to firewall and router configurations 

1.1.1.b For a sample of network connections, interview responsible personnel and examine records to verify that network connections were approved and tested. 

1.1.1.c Identify a sample of actual changes made to firewall and router configurations, compare to the change records, and 
interview responsible personnel to verify the changes were approved and tested. "
PCI 01.1.2,"PCI 01.1.2: Current network diagram that identifies all connections between the cardholder data environment and other networks, including any wireless networks","Network diagrams describe how networks are configured, and identify the location of all network devices. 

Without current network diagrams, devices could be overlooked and be unknowingly left out of the security controls implemented for PCI DSS and 
thus be vulnerable to compromise.","1.1.2.a Examine diagram(s) and observe network configurations to verify that a current network diagram exists and that it documents all connections to cardholder data, including any wireless networks. 

1.1.2.b Interview responsible personnel to verify that the diagram is kept current."
PCI 01.1.3,PCI 01.1.3: Current diagram that shows all cardholder data flows across systems and networks,"Cardholder data-flow diagrams identify the location of all cardholder data that is stored, processed, or transmitted within the network. 

Network and cardholder data-flow diagrams help an organization to understand and keep track of 
the scope of their environment, by showing how cardholder data flows across networks and between individual systems and devices. ","1.1.3 Examine data-flow diagram and interview personnel to 
verify the diagram: 

. Shows all cardholder data flows across systems and networks. 
. Is kept current and updated as needed upon changes to the environment. "
PCI 01.1.4,PCI 01.1.4: Requirements for a firewall at each Internet connection and between any demilitarized zone (DMZ) and the internal network zone,"Using a firewall on every Internet connection coming into (and out of) the network, and between any DMZ and the internal network, allows the organization to monitor and control access and 
minimizes the chances of a malicious individual obtaining access to the internal network via an unprotected connection. ","1.1.4.a Examine the firewall configuration standards and verify that they include requirements for a firewall at each Internet 
connection and between any DMZ and the internal network zone. 

1.1.4.b Verify that the current network diagram is consistent with the firewall configuration standards. 

1.1.4.c Observe network configurations to verify that a firewall is in place at each Internet connection and between any 
demilitarized zone (DMZ) and the internal network zone, per the documented configuration standards and network 
diagrams. "
PCI 01.1.5,"PCI 01.1.5: Description of groups, roles, and responsibilities for management of network components","This description of roles and assignment of responsibilities ensures that personnel are aware of who is responsible for the security of all 
network components, and that those assigned to manage components are aware of their responsibilities. If roles and responsibilities are not formally assigned, devices could be left 
unmanaged. 
","1.1.5.a Verify that firewall and router configuration standards include a description of groups, roles, and responsibilities for management of network components. 

1.1.5.b Interview personnel responsible for management of network components to confirm that roles and responsibilities 
are assigned as documented. "
PCI 01.1.6,"PCI 01.1.6: Documentation and business justification for use of all services, protocols, and ports allowed, including documentation of security features implemented for those protocols considered to be insecure. Examples of insecure services, protocols","Compromises often happen due to unused or insecure service and ports, since these often have known vulnerabilities and many organizations don’t patch vulnerabilities for the services, protocols, and ports they don't use (even though the vulnerabilities are still present). By clearly defining and documenting the services, protocols, and ports that are necessary for business, organizations can ensure that all other services, protocols, and ports are disabled or removed. 

If insecure services, protocols, or ports are necessary for business, the risk posed by use of these protocols should be clearly understood and 
accepted by the organization, the use of the protocol should be justified, and the security features that allow these protocols to be used securely should be documented and implemented. If these insecure services, protocols, or ports are not necessary for business, 
they should be disabled or removed. ","1.1.6.a Verify that firewall and router configuration standards include a documented list of all services, protocols and ports, including business justification for each—for example, hypertext transfer protocol (HTTP) and Secure Sockets Layer 
(SSL), Secure Shell (SSH), and Virtual Private Network (VPN) protocols. 

1.1.6.b Identify insecure services, protocols, and ports allowed; and verify that security features are documented for 
each service. 

1.1.6.c Examine firewall and router configurations to verify that the documented security features are implemented for each insecure service, protocol, and port. "
PCI 01.1.7,PCI 01.1.7: Requirement to review firewall and router rule sets at least every six months,"This review gives the organization an opportunity at least every six months to clean up any unneeded, outdated, or incorrect rules, and ensure that all rule sets allow only authorized 
services and ports that match the documented business justifications. 

Organizations with a high volume of changes to firewall and router rule sets may wish to consider performing reviews more frequently, to ensure 
that the rule sets continue to meet the needs of the business. ","1.1.7.a Verify that firewall and router configuration standards require review of firewall and router rule sets at least every six months. 

1.1.7.b Examine documentation relating to rule set reviews and interview responsible personnel to verify that the rule sets 
are reviewed at least every six months. "
PCI 01.2.1,"PCI 01.2.1: Restrict inbound and outbound traffic to that which is necessary for the cardholder data environment, and specifically deny all other traffic.","This requirement is intended to prevent malicious individuals from accessing the entity’s network via 
unauthorized IP addresses or from using services, protocols, or ports in an unauthorized manner (for example, to send data they've obtained from 
within your network out to an untrusted server.) 

Implementing a rule that denies all inbound and outbound traffic that is not specifically needed helps to prevent inadvertent holes that would 
allow unintended and potentially harmful traffic in or out. ","1.2.1 Restrict inbound and outbound 
traffic to that which is necessary for the 
cardholder data environment, and 
specifically deny all other traffic. 

1.2.1.b Examine firewall and router configurations to verify that inbound and outbound traffic is limited to that which is 
necessary for the cardholder data environment. 

1.2.1.c Examine firewall and router configurations to verify that all other inbound and outbound traffic is specifically denied, for example by using an explicit “deny all” or an implicit deny after allow statement. "
PCI 01.2.2,PCI 01.2.2: Secure and synchronize router configuration files.,"While the running (or active) router configuration files include the current, secure settings, the startup files (which are used when routers are re-
started or booted) must be updated with the same secure settings to ensure these settings are applied when the start-up configuration is run. 

Because they only run occasionally, start-up configuration files are often forgotten and are not updated. When a router re-starts and loads a 
start-up configuration that has not been updated with the same secure settings as those in the running configuration, it may result in weaker rules that allow malicious individuals into the network. 
","1.2.2.a Examine router configuration files to verify they are secured from unauthorized access. 

1.2.2.b Examine router configurations to verify they are synchronized—for example, the running (or active) configuration matches the start-up configuration (used when machines are booted). "
